bin, occurrences
0,42857.5
0.01,42746.8
0.02,42657.6
0.03,42529.8
0.04,42416.9
0.05,42272.3
0.06,42145.7
0.07,41995.6
0.08,41835.5
0.09,41660.3
0.1,41471.7
0.11,41310.9
0.12,41127.1
0.13,40906.3
0.14,40748.6
0.15,40518.1
0.16,40320
0.17,40095.6
0.18,39856.7
0.19,39624.3
0.2,39429.3
0.21,39160.2
0.22,38909.7
0.23,38637.9
0.24,38373.5
0.25,38117.3
0.26,37868
0.27,37575.6
0.28,37269.4
0.29,36971.8
0.3,36699.9
0.31,36399
0.32,36106.7
0.33,35802.8
0.34,35487
0.35,35124.6
0.36,34791.1
0.37,34467.7
0.38,34127.4
0.39,33803.4
0.4,33433.2
0.41,33102.2
0.42,32680.1
0.43,32381.6
0.44,31990.9
0.45,31645
0.46,31237.9
0.47,30805.3
0.48,30424.7
0.49,30074.7
0.5,29637.2
0.51,29261.1
0.52,28633.4
0.53,28379.1
0.54,28011.2
0.55,27547.3
0.56,27087.5
0.57,26328.6
0.58,26224.8
0.59,25744.4
0.6,25313.2
0.61,24820
0.62,23759.9
0.63,23876.8
0.64,23433.3
0.65,22960.4
0.66,22287.9
0.67,21914.7
0.68,21386.9
0.69,20883.6
0.7,20355.4
0.71,19545.8
0.72,19285.6
0.73,18740.8
0.74,18167
0.75,17657.6
0.76,14657.6
0.77,16449.1
0.78,15893.3
0.79,15282.6
0.8,14697.3
0.81,13224.1
0.82,13435
0.83,12534.3
0.84,12168.4
0.85,11515.9
0.86,10834.8
0.87,10155.1
0.88,9206.79
0.89,8784.18
0.9,8054.62
0.91,7326.23
0.92,6588.31
0.93,5852.02
0.94,5077.23
0.95,4255.76
0.96,3469.04
